path,ext,bytes,loc_if_code
.env,,66,
.env.staging,.staging,66,
.eslintrc.cjs,.cjs,2051,
errors.json,.json,1481174,
eslint-output.json,.json,1481174,
index.html,.html,1429,31
package.json,.json,1910,
package-lock.json,.json,331772,
postcss.config.cjs,.cjs,89,
tailwind.config.js,.js,163,6
test.http,.http,265,
ThemeContext.staging_patch.js,.js,665,24
tsconfig.eslint.json,.json,279,
tsconfig.json,.json,603,
vite.config.js,.js,582,26
vite.config.staging.js,.js,265,16
dist/favicon.ico,.ico,0,
dist/index.html,.html,1526,33
dist/lokalizacje_wzor.csv,.csv,171,
dist/assets/AdminDashboard-CuZNgORo.js,.js,9631,1
dist/assets/ClientFavorites-Bj2FTfWL.js,.js,807,1
dist/assets/ClientInbox-DV-jd5iA.js,.js,4902,5
dist/assets/ClientReservations-MZXGhDuD.js,.js,1329,1
dist/assets/index-BBI9a7kp.css,.css,35893,1
dist/assets/index-DEktd8fn.js,.js,296896,262
dist/assets/input-TTcOOM6M.js,.js,907,1
dist/assets/mockLogsAPI-B780y9Fa.js,.js,261,1
dist/assets/OfferDetails-m7OeHFYn.js,.js,63868,70
dist/assets/OfferList-9ZJ2SdtU.js,.js,6461,3
dist/assets/RecommendedAssetsPanel-C_-2ICvm.js,.js,815,1
dist/assets/StatsOverviewPage-B4YUba9m.js,.js,589,1
dist/assets/Timeline-hw6sob1q.js,.js,6038,1
dist/data/demoOffers.js,.js,1492,55
dist/data/offers.json,.json,838,
dist/invoices/invoice_123.pdf,.pdf,47,
dist/locales/de.json,.json,148,
dist/locales/en.json,.json,138,
dist/locales/es.json,.json,162,
dist/locales/fr.json,.json,156,
dist/locales/pl.json,.json,152,
dist/locales/sv.json,.json,150,
public/favicon.ico,.ico,0,
public/lokalizacje_wzor.csv,.csv,171,
public/data/demoOffers.js,.js,1492,55
public/data/offers.json,.json,838,
public/invoices/invoice_123.pdf,.pdf,47,
public/locales/de.json,.json,148,
public/locales/en.json,.json,138,
public/locales/es.json,.json,162,
public/locales/fr.json,.json,156,
public/locales/pl.json,.json,152,
public/locales/sv.json,.json,150,
repo_snapshot/be_routes_map.txt,.txt,0,
repo_snapshot/code_refs.txt,.txt,0,
src/App.jsx,.jsx,925,36
src/AppRoutes.jsx,.jsx,2456,44
src/index.css,.css,381,15
src/index.jsx,.jsx,369,16
src/api/ai.helper.js,.js,556,21
src/api/alerts.js,.js,643,27
src/api/analytics.js,.js,499,23
src/api/audit.js,.js,350,15
src/api/export.controller.js,.js,1255,41
src/api/healthcheck.js,.js,410,20
src/api/messages.js,.js,3404,125
src/api/mockCMSData.js,.js,325,8
src/api/mockDocuments.js,.js,613,21
src/api/MockInvoiceAPI.js,.js,3365,120
src/api/mockInvoices.js,.js,518,22
src/api/mockLogsAPI.js,.js,332,7
src/api/mockOrganization.js,.js,245,5
src/api/mockUserSession.js,.js,197,7
src/api/offer.js,.js,2051,70
src/api/offersApi.js,.js,4122,139
src/api/reservationsApi.js,.js,4133,131
src/api/statsApi.js,.js,291,9
src/api/uploadSignedDocument.js,.js,842,27
src/api/usage.js,.js,582,24
src/api/offers/search.controller.js,.js,1432,42
src/api/offers/search.routes.js,.js,199,5
src/api/translations/exportTranslations.ts,.ts,1440,46
src/api/translations/importTranslations.ts,.ts,987,31
src/api/translations/validateTranslations.ts,.ts,994,34
src/components/AddressInput.jsx,.jsx,6062,166
src/components/AdvancedFilterBar.jsx,.jsx,3899,108
src/components/AvailabilityCalendar.jsx,.jsx,2745,74
src/components/BranchSelector.jsx,.jsx,2011,61
src/components/Card.jsx,.jsx,2482,78
src/components/CategoryQuickFilter.jsx,.jsx,1596,45
src/components/CategorySelector.jsx,.jsx,3486,85
src/components/CennikSection.jsx,.jsx,3380,108
src/components/CompanyStatsPanel.jsx,.jsx,2202,59
src/components/ContractArchiveTable.jsx,.jsx,2355,66
src/components/ContractSender.jsx,.jsx,2600,75
src/components/CsvBranchUploader.jsx,.jsx,1841,61
src/components/CTRChart.jsx,.jsx,883,31
src/components/DrawerMenu.jsx,.jsx,2225,71
src/components/E-SignaturePanel.jsx,.jsx,4561,133
src/components/EquipmentReturnPanel.jsx,.jsx,3198,107
src/components/FilterBar.jsx,.jsx,8206,260
src/components/HelpCenterSection.jsx,.jsx,1426,42
src/components/ImagesUploader.jsx,.jsx,4290,134
src/components/LoadingSpinner.jsx,.jsx,2575,87
src/components/LocationInput.jsx,.jsx,2902,93
src/components/LogEntry.jsx,.jsx,1918,53
src/components/MessageItem.jsx,.jsx,8167,220
src/components/MobileNavBar.jsx,.jsx,2906,89
src/components/ModerationPanel.jsx,.jsx,5354,164
src/components/Navbar.jsx,.jsx,2829,90
src/components/OfferCard.jsx,.jsx,2505,65
src/components/OfferFilters.jsx,.jsx,7737,232
src/components/OfferForm.jsx,.jsx,1320,47
src/components/OfferPinCard.jsx,.jsx,2793,79
src/components/PlanAccessControl.jsx,.jsx,2754,94
src/components/PlanManagerUI.jsx,.jsx,3869,105
src/components/Plans.jsx,.jsx,4681,131
src/components/PlanSelector.jsx,.jsx,2833,90
src/components/PrivateRoute.jsx,.jsx,1773,65
src/components/PromotedOffers.jsx,.jsx,1679,54
src/components/ProviderDashboard.jsx,.jsx,6182,154
src/components/QuickFiltersHome.jsx,.jsx,5862,188
src/components/RatingForm.jsx,.jsx,4129,131
src/components/RegionGuard.jsx,.jsx,2164,65
src/components/ReportInbox.jsx,.jsx,5492,151
src/components/RequireAuth.jsx,.jsx,1770,65
src/components/ReservationStatusTimeline.jsx,.jsx,3566,111
src/components/SearchBar.jsx,.jsx,3578,106
src/components/SignatureBox.jsx,.jsx,4372,140
src/components/SkeletonCard.jsx,.jsx,1529,45
src/components/SmsVerification.jsx,.jsx,6601,207
src/components/StripeStatusTag.jsx,.jsx,1908,63
src/components/SupportForm.jsx,.jsx,4674,139
src/components/T.jsx,.jsx,1084,43
src/components/ThemeManager.jsx,.jsx,6587,193
src/components/ThemePreview.jsx,.jsx,3485,106
src/components/TopSearchBar.jsx,.jsx,3893,112
src/components/TranslationManager.jsx,.jsx,7508,212
src/components/admin/ABTestDashboard.jsx,.jsx,1603,47
src/components/admin/AdminAlertsPanel.jsx,.jsx,1743,46
src/components/admin/AlertDashboard.tsx,.tsx,1296,41
src/components/admin/AlertTag.jsx,.jsx,686,25
src/components/admin/AuditLog.jsx,.jsx,2085,65
src/components/admin/AuditTrailPanel.tsx,.tsx,2223,70
src/components/admin/CTRAlertTriggerButton.tsx,.tsx,1416,35
src/components/admin/ExportDataPanel.jsx,.jsx,1607,44
src/components/admin/FeatureUsageDashboard.tsx,.tsx,1550,45
src/components/admin/FirmBenchmarkDashboard.jsx,.jsx,1565,42
src/components/admin/FirmPositionTag.jsx,.jsx,1008,32
src/components/admin/PromotionEditor.jsx,.jsx,3614,117
src/components/admin/StagingControl.jsx,.jsx,1467,50
src/components/admin/SystemAlertSender.jsx,.jsx,6156,172
src/components/admin/TranslationsDashboard.jsx,.jsx,2252,64
src/components/AI/AISuggestionPanel.tsx,.tsx,1512,47
src/components/AI/AutoDescriptionModal.jsx,.jsx,1785,59
src/components/analytics/BenchmarkChart.tsx,.tsx,1062,32
src/components/analytics/CompanyBenchmarkPanel.jsx,.jsx,1319,40
src/components/analytics/CTRChart.jsx,.jsx,1271,36
src/components/analytics/ReportsDashboard.tsx,.tsx,1491,43
src/components/auth/BusinessProfileSetup.jsx,.jsx,2737,88
src/components/auth/FeatureFlag.jsx,.jsx,365,14
src/components/auth/PlanGate.jsx,.jsx,1035,35
src/components/auth/RegisterFormProvider.jsx,.jsx,2330,56
src/components/auth/RegisterFormUser.jsx,.jsx,2218,77
src/components/auth/TwoFactorSetupModal.jsx,.jsx,564,19
src/components/auth/TwoFactorVerifyModal.jsx,.jsx,799,28
src/components/availability/AvailabilityCalendar.jsx,.jsx,654,23
src/components/availability/DateRangePickerWithAvailability.jsx,.jsx,1325,50
src/components/availability/NearestAvailableOffer.jsx,.jsx,1054,35
src/components/calendar/CalendarSyncSettings.jsx,.jsx,1150,34
src/components/common/AIInspectorPanel.jsx,.jsx,611,21
src/components/common/AlertTag.jsx,.jsx,601,25
src/components/common/AuditTrailView.jsx,.jsx,1152,34
src/components/common/Coachmark.jsx,.jsx,511,23
src/components/common/ExportButton.jsx,.jsx,848,33
src/components/common/FeatureUsageLogger.jsx,.jsx,206,11
src/components/common/FeedbackPrompt.jsx,.jsx,1800,49
src/components/common/FileUploader.jsx,.jsx,895,42
src/components/common/LanguageSwitcher.jsx,.jsx,562,20
src/components/common/LivePreviewRenderer.jsx,.jsx,393,19
src/components/common/LoginButton.jsx,.jsx,258,10
src/components/common/LoginButton.original.jsx,.jsx,169,8
src/components/common/MobileNotificationButton.jsx,.jsx,548,20
src/components/common/NotificationBell.jsx,.jsx,1163,38
src/components/common/SplitTestWrapper.jsx,.jsx,384,15
src/components/common/StatusIndicator.jsx,.jsx,473,19
src/components/common/SystemStatusWidget.jsx,.jsx,563,23
src/components/common/ThemeVersionManager.jsx,.jsx,650,24
src/components/common/UndoRedoToolbar.jsx,.jsx,416,15
src/components/common/WalkthroughModal.jsx,.jsx,673,22
src/components/dashboard/RecommendedAssetsPanel.jsx,.jsx,1155,38
src/components/dev/DevConsole.jsx,.jsx,2711,81
src/components/Document/DocumentSignaturePanel.tsx,.tsx,1775,59
src/components/Export/ExportButtonGroup.jsx,.jsx,681,26
src/components/Export/ExportDataPanel.jsx,.jsx,1020,36
